Team #,Auto NOTES A,AUTO NOTES S,Teleop NOTES A,Teleop NOTES S,Teleop NOTES T,Driver Rating,Human Player Rating,Coopertition Button,Bot Rating
1714,0,2,1,7,0,5,3,0,5
1714,0,1,0,10,0,5,3,0,5
1714,0,3,0,3,1,3,0,0,3
1714,0,2,0,11,0,5,3,0,5
1714,0,2,0,10,0,5,3,0,5
1714,0,3,0,11,0,5,5,0,5
1714,0,2,0,13,2,5,2,1,5
1714,0,2,0,13,0,5,2,1,5
1716,0,0,2,0,0,2,3,1,2
1716,0,0,0,1,0,3,3,1,2
1716,0,0,0,0,0,3,3,0,5
1716,0,1,0,3,0,3,3,0,3
1716,0,1,2,0,0,3,3,1,3
1716,0,0,1,0,0,2,2,0,2
1716,0,0,0,0,0,3,3,0,3
1716,0,0,1,0,0,2,2,0,2
1792,0,1,0,6,0,3,3,0,3
1792,0,0,0,3,0,2,1,0,2
1792,0,1,2,4,0,3,4,0,4
1792,0,1,0,2,0,4,3,1,4
1792,0,1,3,1,0,3,3,1,3
1792,0,1,3,1,0,3,3,1,3
1806,0,0,0,0,0,1,1,0,1
1806,0,0,0,0,0,1,3,0,2
1806,0,0,0,1,0,2,3,1,2
1806,0,0,0,2,0,2,2,0,2
1806,0,0,0,2,0,3,3,1,4
2039,0,0,0,0,0,5,3,0,3
2039,0,0,0,7,0,5,0,1,5
2039,0,1,0,5,0,4,3,0,4
2039,0,1,0,4,0,3,4,1,3
2039,0,0,0,2,0,3,3,0,3
2062,0,1,3,5,0,4,3,1,4
2062,0,1,3,2,0,3,3,0,4
2062,0,1,5,1,0,5,4,1,5
2062,0,0,2,6,0,4,5,1,4
2062,0,1,0,5,0,3,1,0,3
2062,0,1,4,1,0,5,1,0,4
2062,0,1,5,2,0,5,3,1,5
2062,0,1,5,2,0,5,3,1,5
2129,0,0,0,0,0,1,1,1,2
2129,0,0,0,5,0,4,3,0,4
2129,0,1,0,2,0,4,3,1,5
2129,0,2,0,5,0,4,3,0,5
2129,0,1,0,6,0,3,3,0,3
2129,0,2,0,0,0,2,4,1,3
2129,0,2,0,0,0,2,4,1,3
2169,0,1,3,1,0,3,4,0,3
2169,0,0,0,2,0,3,3,1,3
2169,0,0,2,1,0,2,4,0,4
2169,0,0,0,2,0,4,3,0,4
2169,0,0,1,0,0,4,5,0,1
2169,0,0,0,1,0,2,2,0,3
2169,0,0,0,1,0,2,2,0,3
2175,0,0,0,0,0,1,4,0,2
2175,0,2,6,0,0,4,4,0,4
2175,0,1,2,3,0,1,4,1,4
2175,0,2,2,2,0,4,3,1,5
2175,0,1,2,3,0,3,2,0,3
2175,0,0,0,3,0,2,2,0,3
2175,0,1,2,3,0,3,2,0,3
2175,0,0,0,3,0,2,2,0,3
2227,0,1,0,0,0,2,3,0,3
2227,0,0,0,4,0,4,3,0,4
2227,0,0,0,0,0,4,3,1,4
2227,0,0,0,0,0,3,3,1,2
2227,0,0,0,2,0,3,3,0,4
2227,0,1,3,0,0,3,3,0,4
2264,0,0,6,0,0,3,3,0,3
2264,0,0,6,2,0,5,5,0,5
2264,1,0,3,2,0,3,3,0,3
2264,0,1,1,1,0,5,3,0,2
2264,0,0,4,0,0,4,3,0,4
2264,0,1,2,2,0,4,3,1,4
2264,0,2,4,3,0,5,4,0,5
2264,0,0,4,0,0,3,3,0,3
2472,0,0,2,1,0,3,3,0,3
2472,0,0,0,2,0,3,3,0,4
2472,0,3,3,3,0,4,3,1,3
2472,0,0,0,6,0,5,5,0,4
2472,0,1,4,0,0,3,2,0,4
2472,0,1,4,0,0,3,3,1,3
2472,0,1,4,0,0,3,2,0,4
2491,0,1,3,4,0,5,5,1,5
2491,0,1,2,3,0,4,3,0,4
2491,0,1,0,0,0,4,3,0,2
2491,0,0,0,0,0,4,3,0,3
2491,0,1,0,5,0,4,3,0,5
2491,0,1,0,5,0,4,5,0,5
2491,0,1,0,6,0,5,4,1,5
2501,1,0,0,6,0,4,3,1,4
2501,0,1,0,6,0,4,3,1,3
2501,0,4,3,4,0,4,5,1,5
2501,0,0,0,2,1,3,3,0,3
2501,0,2,3,0,0,4,3,1,5
2501,0,1,1,4,0,4,3,0,4
2501,0,1,0,5,0,3,3,0,4
2512,0,0,0,0,0,1,3,0,3
2512,0,0,1,0,0,3,3,0,3
2512,0,0,3,0,0,3,3,0,2
2512,0,0,0,0,0,2,3,0,1
2512,0,0,3,0,0,3,3,0,2
2512,0,0,3,0,0,3,3,0,2
2512,0,0,1,0,0,2,2,0,2
2512,0,0,1,0,0,2,2,0,2
2530,0,0,0,0,0,2,3,0,2
2574,0,1,6,2,0,4,0,1,4
2574,0,1,5,0,0,4,3,1,3
2574,0,1,1,0,0,1,3,0,2
2574,0,0,0,4,0,3,3,0,3
2574,0,0,3,0,0,3,4,0,3
2846,0,0,5,0,0,5,4,0,4
2846,0,0,5,1,0,5,4,0,5
2846,0,4,4,3,0,5,4,1,4
2846,0,2,0,6,0,4,3,0,4
2846,0,0,0,2,0,3,3,0,4
2846,0,1,2,0,0,3,3,1,4
2846,0,0,5,2,0,3,1,0,4
2855,0,2,5,0,0,4,3,0,3
2855,0,3,5,2,0,4,3,1,5
2855,0,3,2,1,0,4,5,1,5
2855,0,3,5,3,0,4,3,0,5
2855,0,0,0,0,0,2,4,0,2
2987,0,0,0,4,0,3,3,0,4
2987,0,1,0,3,0,3,3,0,4
2987,0,0,0,0,0,4,3,0,2
2987,0,0,0,1,0,2,2,0,2
2987,0,0,0,4,0,4,3,0,4
2987,0,0,0,2,0,3,3,1,2
2987,0,0,0,1,0,2,2,0,2
3023,1,0,0,0,0,4,3,0,1
3023,1,1,3,0,0,3,4,0,4
3023,0,0,0,0,0,1,1,1,2
3023,0,0,1,2,0,2,3,0,3
3023,1,0,2,5,0,4,1,0,4
3023,0,1,1,1,0,4,3,1,4
3082,0,0,0,3,0,3,3,0,3
3082,0,1,0,5,0,4,4,0,4
3082,0,2,0,8,0,4,3,1,4
3082,0,0,0,8,0,5,3,0,5
3082,0,0,0,5,0,4,3,1,5
3082,0,0,0,3,0,3,3,1,3
3100,0,0,2,1,0,2,3,0,4
3100,0,0,3,0,0,3,3,0,3
3100,0,0,2,2,0,4,3,0,5
3100,0,0,1,0,0,2,3,0,1
3100,0,0,2,2,0,4,3,0,5
3130,0,0,0,5,0,3,3,0,3
3130,0,1,0,7,0,5,3,1,5
3130,2,0,0,10,0,5,5,0,5
3130,0,3,0,3,0,4,4,0,5
3130,0,0,0,5,0,2,3,1,4
3130,0,1,0,0,0,4,3,1,4
3130,0,1,0,0,0,4,3,1,4
3206,0,2,0,7,0,5,3,0,5
3206,0,1,0,2,0,3,2,0,4
3206,0,1,0,7,0,5,3,1,5
3206,0,4,5,5,0,5,5,0,5
3206,0,2,3,3,0,4,3,0,4
3206,0,3,4,4,0,5,5,0,5
3206,0,1,0,3,0,3,3,0,3
3212,0,0,0,0,0,2,3,0,1
3212,0,0,0,0,0,2,3,0,1
3212,0,0,0,0,0,2,3,0,2
3212,0,0,0,0,0,1,1,0,2
3212,0,0,0,0,0,2,1,0,2
3212,0,0,0,0,0,1,3,0,1
3212,0,0,0,0,0,2,1,0,2
3297,0,0,0,0,0,2,0,0,1
3297,0,1,2,1,1,5,5,0,4
3297,0,1,3,0,0,3,3,1,2
3297,0,0,0,5,0,4,2,0,5
3297,0,1,0,3,1,3,3,0,4
3297,0,0,0,1,0,2,3,0,3
3297,0,0,0,1,0,2,3,0,3
3400,0,0,0,0,0,2,3,1,2
3418,0,0,0,2,0,3,5,0,3
3418,0,0,0,1,0,3,3,1,1
3418,0,1,0,3,0,4,4,0,5
3418,0,0,0,1,0,2,1,0,2
3418,0,1,0,2,0,4,5,1,4
3418,0,0,0,5,0,3,3,1,3
3418,0,1,0,4,0,3,1,0,4
3418,0,1,0,4,0,3,1,0,4
3883,0,0,1,4,0,5,3,0,4
3883,0,1,0,5,0,4,4,0,4
3883,0,0,0,4,0,4,3,0,4
3883,0,1,3,0,0,1,3,0,3
3883,0,1,2,2,0,4,4,1,5
3883,0,0,1,4,0,5,2,0,5
3883,0,0,0,2,0,2,2,0,2
3883,0,1,2,2,0,4,4,1,5
3883,0,0,1,4,0,5,2,0,5
4166,0,1,0,1,0,2,3,0,1
4166,0,0,0,0,0,2,3,1,1
4166,0,0,0,1,0,2,3,0,2
4166,0,0,0,0,0,1,1,0,1
4166,0,0,0,0,0,3,3,0,3
4182,0,0,0,0,0,1,3,1,1
4182,0,0,0,1,0,3,3,1,4
4182,0,0,0,2,0,3,3,0,2
4182,0,1,0,0,0,3,3,1,3
4182,0,0,0,0,0,1,3,0,1
4182,0,0,0,0,0,1,3,0,1
4182,0,1,0,4,0,2,3,0,3
4184,0,0,0,1,0,2,3,1,3
4220,0,0,0,0,0,1,3,0,1
4229,0,0,0,1,0,3,3,0,3
4229,0,0,0,0,0,1,3,0,1
4229,0,0,0,0,0,3,3,1,2
4229,0,0,0,0,0,3,3,0,2
4229,0,0,0,0,0,1,2,0,3
4229,0,0,0,0,0,2,3,1,1
4229,0,0,0,0,0,1,2,0,3
4230,0,3,4,4,0,4,3,0,4
4230,0,0,4,4,0,5,5,0,4
4230,0,2,5,2,0,5,4,0,5
4230,0,2,4,5,0,5,5,1,5
4230,0,1,4,0,0,4,5,1,3
4230,0,1,3,2,0,5,5,1,5
4230,0,1,4,0,0,4,4,1,4
4623,0,0,0,0,0,2,4,0,2
4623,0,0,0,2,0,3,2,1,3
4623,0,0,0,2,0,3,5,1,2
4623,0,0,0,3,0,3,3,0,3
4623,0,1,0,4,0,3,4,0,2
4623,0,1,1,2,0,3,5,1,3
4623,0,0,0,2,0,3,3,1,3
4623,0,1,1,2,0,3,5,1,3
4703,0,0,0,1,0,2,2,0,2
4703,0,0,0,3,0,3,1,0,3
4703,0,0,0,2,0,4,3,1,3
4703,0,0,0,4,0,3,3,0,3
4703,0,0,0,0,0,0,0,1,0
4703,0,0,2,0,0,2,1,0,3
4703,0,0,0,1,0,2,3,1,3
4703,0,0,2,0,0,2,1,0,3
4786,0,0,0,6,0,3,3,0,2
4786,0,2,2,7,0,4,2,1,3
4786,0,1,1,1,0,3,5,1,2
4786,0,0,1,3,0,4,3,1,4
4786,0,1,1,5,0,5,5,1,5
4786,0,1,1,5,0,5,5,1,5
4786,0,2,1,3,0,4,4,1,4
4786,0,0,1,8,0,3,2,0,4
4786,0,0,1,8,0,3,2,0,4
5232,0,1,0,0,0,3,3,0,4
5232,0,0,0,4,0,3,3,1,4
5232,0,0,0,1,0,3,1,0,4
5232,0,0,0,1,0,1,3,0,4
5232,0,0,0,4,0,4,5,1,4
5232,0,0,0,8,0,4,2,0,4
5232,0,0,0,4,0,3,2,0,3
5232,0,0,0,4,0,4,5,1,4
5232,0,0,0,8,0,4,2,0,4
5232,0,0,0,4,0,3,2,0,3
5271,0,0,0,2,0,1,2,0,2
5271,0,0,0,0,0,1,1,0,1
5271,0,1,0,0,0,1,1,0,1
5271,0,0,0,1,0,1,3,0,1
5271,0,0,0,0,0,1,2,0,1
5271,0,0,0,0,0,2,3,0,1
5271,0,0,0,0,0,1,2,0,1
5275,1,0,4,0,0,4,3,0,3
5275,0,2,0,3,0,2,3,0,4
5275,0,0,0,0,0,1,1,0,2
5275,0,1,2,4,0,4,1,0,3
5275,0,1,0,4,0,4,4,1,2
5275,0,1,1,3,0,3,3,1,4
5275,0,0,0,3,0,3,3,0,3
5275,0,1,1,3,0,3,3,1,4
5339,0,0,0,2,0,1,2,1,3
5339,0,0,0,0,0,1,3,0,2
5339,0,0,0,2,0,3,3,0,2
5339,0,0,0,2,0,3,3,0,2
5339,0,0,0,2,0,3,3,1,4
5339,0,0,0,2,0,2,2,0,2
5339,0,0,0,2,0,3,2,0,3
5339,0,0,0,2,0,3,2,0,3
5359,0,0,0,4,0,3,3,0,2
5720,0,0,0,3,0,3,2,0,3
5720,0,1,0,1,0,2,3,0,1
5720,0,0,0,1,0,2,5,0,2
5720,0,1,0,5,0,3,3,0,4
5720,0,0,0,2,0,3,3,0,2
5720,0,1,0,3,0,3,3,1,3
5913,0,1,0,2,0,3,2,0,3
5913,0,1,1,0,0,2,3,0,3
5913,0,0,2,3,0,4,5,1,4
5913,0,2,0,5,1,3,3,1,3
5913,0,2,0,5,0,4,3,0,4
5913,0,1,0,7,0,4,2,0,5
5920,0,0,0,0,0,2,5,1,2
5920,0,0,0,0,0,2,5,1,2
6044,0,0,0,0,0,2,3,1,3
6044,0,0,0,0,0,2,3,0,1
6044,0,0,0,0,0,1,3,1,2
6044,0,0,0,0,0,0,0,0,0
6044,0,0,0,2,0,2,1,1,1
6044,0,0,0,1,0,2,2,0,2
6044,0,0,0,0,0,1,2,0,3
6044,0,0,0,1,0,2,2,0,2
6044,0,0,0,0,0,1,2,0,3
6045,0,4,0,8,0,5,3,0,3
6045,0,3,0,9,0,4,2,0,5
6045,0,3,0,7,0,5,3,0,5
6045,0,1,0,0,0,2,3,0,1
6045,0,3,0,7,0,4,3,0,5
6045,0,3,0,7,0,4,3,0,3
6047,0,0,0,0,0,1,3,0,1
6047,0,0,0,0,0,1,3,0,1
6047,0,0,0,0,0,1,1,0,1
6047,0,0,0,0,0,2,3,0,2
6047,0,0,0,0,0,1,3,1,1
6047,0,0,0,0,0,1,2,1,3
6047,0,0,0,0,0,1,3,1,1
6047,0,0,0,0,0,1,2,1,3
6132,0,0,0,3,0,2,3,0,3
6132,0,0,0,6,0,2,3,1,
6132,0,0,0,0,0,3,3,0,3
6132,0,1,1,5,0,2,3,1,2
6132,0,0,0,1,0,2,5,0,4
6132,0,1,1,3,0,4,1,0,4
6132,0,0,0,1,0,1,1,0,2
6132,0,1,1,3,0,4,1,0,4
6132,0,0,0,1,0,1,1,0,2
6147,0,4,0,6,2,5,3,0,5
6147,0,4,0,4,0,4,3,0,4
6147,0,4,1,3,1,3,3,0,5
6147,2,0,1,4,0,5,5,1,4
6147,0,4,0,5,2,5,5,0,4
6147,0,0,0,2,1,3,3,1,3
6147,0,4,0,6,2,4,1,1,4
6147,0,4,0,6,2,4,1,1,4
6419,0,0,1,1,0,3,1,0,2
6419,0,0,1,0,0,2,0,0,3
6419,1,0,2,0,0,1,1,0,2
